"Sequence.Run","Autosampler.Position","Sample.ID","Project","Sample.Type","Species","Tree.No","Tissue","FID_File","FID_Date","FID_Time","X","X.1","CH4_Area","X.2","X.3","X.4","X.5","CO2_Area","X.6","X.7","ECD_File","ECD_Date","ECD_Time","X.8","X.9","O2_Area","X.10","X.11","X.12","X.13","N2O_Area","X.14","X.15","O2_concentration_uncorrected","N2O_concentration_uncorrected","CH4_concentration_uncorrected","CO2_concentration_uncorrected","O2_concentration","CH4_concentration","CO2_concentration","N2O_concentration"
37,25,"SB3b",NA,"Standard","","","","F241010s37.CHR","10/10/2024","17:21:43","CH4",1.363,3.7115,16.371,"ppm","CO2",1.863,414.4074,1321.9841,"ppm","E241010s37.CHR","10/10/2024","17:21:43","O2",1.2,640.0106,0,NA,"N2O",2.16,90.8274,0.1735,"ppm",140109.964627423,0.330263570872741,17.0559063356776,1258.97080846646,210000,51.1677190070329,3776.91242539939,0.990790712618223
38,26,"Blank",NA,"Blank","","","","F241010s38.CHR","10/10/2024","17:27:08","CH4",1.356,0.4618,2.3153,"ppm","CO2",1.853,107.6142,188.1543,"ppm","E241010s38.CHR","10/10/2024","17:27:08","O2",1.196,674.1682,0,NA,"N2O",2.15,60.6642,0.0499,"ppm",154533.300133663,0.204869666081584,1.45656553072793,224.711468088359,210000,4.36969659218378,674.134404265077,0.614608998244751
39,27,"SB3",NA,"Standard","","","","F241010s39.CHR","10/10/2024","17:32:32","CH4",1.353,4.1866,18.4259,"ppm","CO2",1.85,604.3232,2023.8648,"ppm","E241010s39.CHR","10/10/2024","17:32:32","O2",1.196,722.0722,0,NA,"N2O",2.143,135.1059,0.355,"ppm",183810.016526928,0.514337343327098,19.336500487886,1899.21378006877,210000,58.0095014636581,5697.6413402063,1.54301202998129
40,28,"Blank",NA,"Blank","","","","F241010s40.CHR","10/10/2024","17:37:57","CH4",1.356,0.4944,2.4563,"ppm","CO2",1.853,109.235,194.1443,"ppm","E241010s40.CHR","10/10/2024","17:37:57","O2",1.196,672.2062,0,NA,"N2O",2.15,59.6908,0.0459,"ppm",153704.829038994,0.200823065358726,1.61305336352522,230.175499034563,210000,4.83916009057565,690.526497103688,0.602469196076177
41,29,"SB4a",NA,"Standard","","","","F241010s41.CHR","10/10/2024","17:43:22","CH4",1.356,13.9492,60.6513,"ppm","CO2",1.853,512.445,1684.3063,"ppm","E241010s41.CHR","10/10/2024","17:43:22","O2",1.196,405.4842,0,NA,"N2O",2.15,195.3808,0.6021,"ppm",41079.2085944869,0.764911058048896,66.1993261463782,1589.47455988029,123237.625783461,198.597978439135,4768.42367964086,2.29473317414669
42,30,"Blank",NA,"Blank","","","","F241010s42.CHR","10/10/2024","17:48:47","CH4",1.363,0.4939,2.4541,"ppm","CO2",1.86,110.5546,199.0212,"ppm","E241010s42.CHR","10/10/2024","17:48:47","O2",1.206,689.5388,0,NA,"N2O",2.156,62.8166,0.0587,"ppm",161023.665988764,0.213817584096665,1.61065324339029,234.624126401672,210000,4.83195973017087,703.872379205015,0.641452752289994
43,31,"SB4",NA,"Standard","","","","F241010s43.CHR","10/10/2024","17:54:13","CH4",1.363,40.549,175.7013,"ppm","CO2",1.863,1472.4056,5232.0772,"ppm","E241010s43.CHR","10/10/2024","17:54:13","O2",1.206,739.8156,0,NA,"N2O",2.156,653.2768,2.4789,"ppm",192444.427383213,2.22619294916033,110.494717462658,5495.64009688373,210000,331.484152387973,16486.9202906512,6.67857884748098
44,32,"Blank",NA,"Blank","","","","F241010s44.CHR","10/10/2024","17:59:37","CH4",1.363,0.712,3.3975,"ppm","CO2",1.863,112.859,207.5377,"ppm","E241010s44.CHR","10/10/2024","17:59:37","O2",1.196,726.4553,0,NA,"N2O",2.16,62.273,0.0565,"ppm",185942.949686535,0.211557740093228,2.65758564624579,242.392705444386,210000,7.97275693873738,727.178116333158,0.634673220279683
45,33,"SB5a",NA,"Standard","","","","F241010s45.CHR","10/10/2024","18:05:02","CH4",1.353,457.4392,1978.8434,"ppm","CO2",1.853,1013.4328,3535.8301,"ppm","E241010s45.CHR","10/10/2024","18:05:02","O2",1.196,511.349,0,NA,"N2O",2.146,428.4858,1.5575,"ppm",85781.5158028675,1.60354934589875,2371.53185207945,3445.86914721716,210000,7114.59555623836,10337.6074416515,4.81064803769626
46,34,"Blank",NA,"Blank","","","","F241010s46.CHR","10/10/2024","18:10:27","CH4",1.366,1.4943,6.7811,"ppm","CO2",1.866,106.6813,184.7065,"ppm","E241010s46.CHR","10/10/2024","18:10:27","O2",1.2,720.6772,0,NA,"N2O",2.163,62.0872,0.0557,"ppm",183131.172385189,0.210785335722664,6.41281360935382,221.566481372099,210000,19.2384408280615,664.699444116298,0.632356007167991
47,35,"SB5",NA,"Standard","","","","F241010s47.CHR","10/10/2024","18:15:53","CH4",1.363,975.2962,4218.6892,"ppm","CO2",1.863,2188.0572,7876.9441,"ppm","E241010s47.CHR","10/10/2024","18:15:53","O2",1.206,756.5712,0,NA,"N2O",2.156,992.9884,3.8714,"ppm",200598.148459419,3.16715257251604,5180.17045145466,8691.73768646291,210000,15540.511354364,26075.2130593887,9.50145771754813
48,36,"Blank",NA,"Blank","","","","F241010s48.CHR","10/10/2024","18:21:18","CH4",1.36,4.4871,19.7256,"ppm","CO2",1.856,115.3388,216.7024,"ppm","E241010s48.CHR","10/10/2024","18:21:18","O2",1.203,672.6109,0,NA,"N2O",2.153,62.205,0.0562,"ppm",153875.717036962,0.21127505173371,20.7789726889776,250.752591883426,210000,62.3369180669329,752.257775650277,0.63382515520113
49,37,"S3a",NA,"Standard","","","","F241010s49.CHR","10/10/2024","18:26:42","CH4",1.36,3473.1718,15022.5525,"ppm","CO2",1.86,9313.4269,34210.5039,"ppm","E241010s49.CHR","10/10/2024","18:26:42","O2",1.2,58.6546,0,NA,"N2O",2.16,2633.3302,10.5949,"ppm",-105372.523503054,7.71069892860938,18727.5973021055,40513.6143133446,0,56182.7919063166,121540.842940034,23.1320967858281
50,38,"Blank",NA,"Blank","","","","F241010s50.CHR","10/10/2024","18:32:07","CH4",1.363,14.518,63.1115,"ppm","CO2",1.86,148.895,340.7176,"ppm","E241010s50.CHR","10/10/2024","18:32:07","O2",1.203,702.6844,0,NA,"N2O",2.156,70.6153,0.0907,"ppm",166574.506774733,0.246238197469742,-30.686480011425,363.877046002995,210000,0,1091.63113800898,0.738714592409225
51,39,"S3b",NA,"Standard","","","","F241010s51.CHR","10/10/2024","18:37:32","CH4",1.35,5916.9292,25592.3426,"ppm","CO2",1.843,14902.4322,54866.0504,"ppm","E241010s51.CHR","10/10/2024","18:37:32","O2",1.203,53.7282,0,NA,"N2O",2.153,4447.9536,18.0329,"ppm",-107452.737570727,12.7369840216014,31981.5097936791,65474.0928024239,0,95944.5293810372,196422.278407272,38.2109520648042
52,40,"Blank",NA,"Blank","","","","F241010s52.CHR","10/10/2024","18:42:57","CH4",1.356,9.3776,40.8781,"ppm","CO2",1.853,129.5135,269.0885,"ppm","E241010s52.CHR","10/10/2024","18:42:57","O2",1.196,697.098,0,NA,"N2O",2.15,65.545,0.0699,"ppm",164215.602124756,0.225160038804129,44.2545477287064,298.538252947809,210000,132.763643186119,895.614758843426,0.675480116412387
53,41,"S3c",NA,"Standard","","","","F241010s53.CHR","10/10/2024","18:48:22","CH4",1.336,9249.8259,40007.8564,"ppm","CO2",1.816,22102.5567,81475.8849,"ppm","E241010s53.CHR","10/10/2024","18:48:22","O2",1.19,75.8074,0,NA,"N2O",2.153,7231.3746,29.4418,"ppm",-98129.6086240394,20.4467200912569,50057.7399486258,97629.8241095571,0,150173.219845877,292889.472328671,61.3401602737708
54,42,"Blank",NA,"Blank","","","","F241010s54.CHR","10/10/2024","18:53:47","CH4",1.363,20.5372,89.1458,"ppm","CO2",1.86,157.0108,370.7116,"ppm","E241010s54.CHR","10/10/2024","18:53:47","O2",1.206,687.8446,0,NA,"N2O",2.153,71.8157,0.0956,"ppm",160308.275709158,0.251228478451577,1.95912960157474,391.236980821108,210000,5.87738880472423,1173.71094246333,0.753685435354732
55,43,"Blank",NA,"Blank","","","","F241010s55.CHR","10/10/2024","18:59:12","CH4",1.363,0.5106,2.5264,"ppm","CO2",1.856,105.7962,181.4354,"ppm","E241010s55.CHR","10/10/2024","18:59:12","O2",1.203,660.5386,0,NA,"N2O",2.153,56.0722,0.0311,"ppm",148778.086254003,0.185779887450636,1.69081725589688,218.582637720517,210000,5.07245176769063,655.747913161551,0.557339662351909
56,44,"Blank",NA,"Blank","","","","F241010s56.CHR","10/10/2024","19:04:37","CH4",1.366,0.4289,2.173,"ppm","CO2",1.863,128.6754,265.9911,"ppm","E241010s56.CHR","10/10/2024","19:04:37","O2",1.206,678.042,0,NA,"N2O",2.16,60.5967,0.0496,"ppm",156169.044948406,0.204589056312945,1.29863762584968,295.712855405846,210000,3.89591287754903,887.138566217538,0.613767168938835
57,45,"SM7H","Internal Gas","Sample","Acer saccharum","SM7","heartwood","F241010s57.CHR","10/10/2024","19:10:02","CH4",1.36,26.829,116.3593,"ppm","CO2",1.86,2349.0976,8472.1086,"ppm","E241010s57.CHR","10/10/2024","19:10:02","O2",1.203,507.677,0,NA,"N2O",2.15,89.7745,0.1692,"ppm",84230.9827449562,0.325886474200153,36.0832069811389,9410.94356019374,210000,108.249620943417,28232.8306805812,0.977659422600459
58,46,"Blank","Internal Gas","Blank","","","","F241010s58.CHR","10/10/2024","19:15:27","CH4",1.356,1.2424,5.6916,"ppm","CO2",1.856,124.8828,251.9746,"ppm","E241010s58.CHR","10/10/2024","19:15:27","O2",1.196,682.1529,0,NA,"N2O",2.156,62.9558,0.0593,"ppm",157904.90724355,0.214396263797324,5.2036330853772,282.927265717685,210000,15.6108992561316,848.781797153054,0.643188791391972
59,47,"SM7S","Internal Gas","Sample","Acer saccharum","SM7","sapwood","F241010s59.CHR","10/10/2024","19:20:52","CH4",1.363,14.8455,64.528,"ppm","CO2",1.866,2318.3544,8358.4895,"ppm","E241010s59.CHR","10/10/2024","19:20:52","O2",1.203,420.7953,0,NA,"N2O",2.153,70.4963,0.0902,"ppm",47544.4500713351,0.245743492840586,-28.9102577313451,9273.6445345003,142633.350214005,0,27820.9336035009,0.737230478521758
60,48,"Blank","Internal Gas","Blank","","","","F241010s60.CHR","10/10/2024","19:26:17","CH4",1.36,1.039,4.8118,"ppm","CO2",1.856,122.703,243.9186,"ppm","E241010s60.CHR","10/10/2024","19:26:17","O2",1.206,669.3897,0,NA,"N2O",2.156,62.5954,0.0578,"ppm",152515.538091933,0.212898015491881,4.22726421448857,275.578737425154,210000,12.6817926434657,826.736212275461,0.638694046475644
61,49,"SM8S","Internal Gas","Sample","Acer saccharum","SM8","sapwood","F241010s61.CHR","10/10/2024","19:31:42","CH4",1.363,1.3998,6.3724,"ppm","CO2",1.863,3307.3592,12013.6005,"ppm","E241010s61.CHR","10/10/2024","19:31:42","O2",1.203,392.6438,0,NA,"N2O",2.153,71.7528,0.0953,"ppm",35657.2410899104,0.250966991719024,5.95919090385247,13690.5365771677,106971.723269731,17.8775727115574,41071.6097315033,0.752900975157071
62,50,"Blank","Internal Gas","Blank","","","","F241010s62.CHR","10/10/2024","19:37:07","CH4",1.366,1.3478,6.1475,"ppm","CO2",1.863,123.0496,245.1996,"ppm","E241010s62.CHR","10/10/2024","19:37:07","O2",1.203,686.1986,0,NA,"N2O",2.16,62.0178,0.0554,"ppm",159613.238287229,0.210496827308685,5.70957840981998,276.747193203753,210000,17.1287352294599,830.241579611259,0.631490481926056
63,51,"SM8H","Internal Gas","Sample","Acer saccharum","SM8","heartwood","F241010s63.CHR","10/10/2024","19:42:32","CH4",1.366,1.3024,5.9511,"ppm","CO2",1.87,2637.8002,9539.0802,"ppm","E241010s63.CHR","10/10/2024","19:42:32","O2",1.203,417.6292,0,NA,"N2O",2.16,69.648,0.0867,"ppm",46207.5375673446,0.242216955555605,5.49164750156853,10700.2883810049,138622.612702034,16.4749425047056,32100.8651430148,0.726650866666815
64,52,"Blank","Internal Gas","Blank","","","","F241010s64.CHR","10/10/2024","19:47:57","CH4",1.36,1.142,5.2573,"ppm","CO2",1.856,186.9963,481.5304,"ppm","E241010s64.CHR","10/10/2024","19:47:57","O2",1.196,673.0044,0,NA,"N2O",2.16,63.9269,0.0633,"ppm",154041.875740199,0.21843330300214,4.7216889622837,492.32391316155,210000,14.1650668868511,1476.97173948465,0.655299909006419
65,53,"SM9S","Internal Gas","Sample","Acer saccharum","SM9","sapwood","F241010s65.CHR","10/10/2024","19:53:21","CH4",1.366,0.7856,3.7158,"ppm","CO2",1.87,3195.512,11600.2416,"ppm","E241010s65.CHR","10/10/2024","19:53:21","O2",1.2,393.4584,0,NA,"N2O",2.156,72.5398,0.0986,"ppm",36001.2128298273,0.254238693762263,3.01088333010716,13191.0273658124,108003.638489482,9.0326499903215,39573.0820974373,0.762716081286789
66,54,"Blank","Internal Gas","Blank","","","","F241010s66.CHR","10/10/2024","19:58:46","CH4",1.366,0.5966,2.8983,"ppm","CO2",1.863,126.9611,259.6555,"ppm","E241010s66.CHR","10/10/2024","19:58:46","O2",1.206,680.6982,0,NA,"N2O",2.163,62.8592,0.0589,"ppm",157290.647864643,0.213994680039539,2.10363791910446,289.933617837314,210000,6.31091375731338,869.800853511942,0.641984040118617
67,55,"SM9H","Internal Gas","Sample","Acer saccharum","SM9","heartwood","F241010s67.CHR","10/10/2024","20:04:10","CH4",1.356,0.9598,4.4693,"ppm","CO2",1.853,3082.0313,11180.8457,"ppm","E241010s67.CHR","10/10/2024","20:04:10","O2",1.203,350.076,0,NA,"N2O",2.143,72.3454,0.0978,"ppm",17682.627499889,0.253430537628584,3.84708518511601,12684.222949063,53047.882499667,11.541255555348,38052.6688471891,0.760291612885751
68,56,"Blank","Internal Gas","Blank","","","","F241010s68.CHR","10/10/2024","20:09:35","CH4",1.36,0.4971,2.468,"ppm","CO2",1.853,123.6968,247.5915,"ppm","E241010s68.CHR","10/10/2024","20:09:35","O2",1.2,699.7476,0,NA,"N2O",2.153,64.407,0.0652,"ppm",165334.418135171,0.220429165963968,1.62601401225383,278.929029845154,210000,4.87804203676148,836.787089535463,0.661287497891905
69,57,"SM1001S","Internal Gas","Sample","Acer saccharum","SM1001","sapwood","F241010s69.CHR","10/10/2024","20:14:59","CH4",1.353,28.4584,123.4068,"ppm","CO2",1.856,2186.7948,7872.2786,"ppm","E241010s69.CHR","10/10/2024","20:14:59","O2",1.193,385.1607,0,NA,"N2O",2.146,59.1887,0.0438,"ppm",32497.4388225748,0.198735744398229,44.9203873877414,8686.0998123953,97492.3164677244,134.761162163224,26058.2994371859,0.596207233194688
70,58,"Blank","Internal Gas","Blank","","","","F241010s70.CHR","10/10/2024","20:20:24","CH4",1.36,0.9704,4.5151,"ppm","CO2",1.856,112.9918,208.0285,"ppm","E241010s70.CHR","10/10/2024","20:20:24","O2",1.2,667.492,0,NA,"N2O",2.153,62.164,0.056,"ppm",151714.218216117,0.211104607281648,3.89796773197648,242.840399983907,210000,11.6939031959294,728.521199951721,0.633313821844944
71,59,"SM1001H","Internal Gas","Sample","Acer saccharum","SM1001","heartwood","F241010s71.CHR","10/10/2024","20:25:49","CH4",1.353,59.5432,257.8554,"ppm","CO2",1.86,2582.5294,9334.8133,"ppm","E241010s71.CHR","10/10/2024","20:25:49","O2",1.193,388.8078,0,NA,"N2O",2.15,65.7412,0.0707,"ppm",34037.4576448811,0.225975677864972,213.511270843712,10453.4491778869,102112.372934643,640.533812531135,31360.3475336608,0.677927033594917
72,60,"Blank","Internal Gas","Blank","","","","F241010s72.CHR","10/10/2024","20:31:13","CH4",1.363,0.6076,2.9459,"ppm","CO2",1.863,112.5052,206.2302,"ppm","E241010s72.CHR","10/10/2024","20:31:13","O2",1.2,701.7331,0,NA,"N2O",2.163,60.4292,0.0489,"ppm",166172.812303603,0.203892728368545,2.15644056207287,241.19997707027,210000,6.46932168621861,723.599931210811,0.611678185105636
73,61,"SM5S","Internal Gas","Sample","Acer saccharum","SM5","sapwood","F241010s73.CHR","10/10/2024","20:36:38","CH4",1.356,110.989,480.3698,"ppm","CO2",1.863,2275.3018,8199.378,"ppm","E241010s73.CHR","10/10/2024","20:36:38","O2",1.196,399.2484,0,NA,"N2O",2.153,59.9136,0.0468,"ppm",38446.0893018607,0.201749285454321,492.531656115586,9081.37177065108,115338.267905582,1477.59496834676,27244.1153119532,0.605247856362964
74,62,"Blank","Internal Gas","Blank","","","","F241010s74.CHR","10/10/2024","20:42:03","CH4",1.356,1.3786,6.2807,"ppm","CO2",1.853,116.2581,220.0999,"ppm","E241010s74.CHR","10/10/2024","20:42:03","O2",1.196,681.9376,0,NA,"N2O",2.153,62.4495,0.0572,"ppm",157813.994997534,0.212291482673446,5.85742581013153,253.85173036371,210000,17.5722774303946,761.55519109113,0.636874448020337
75,63,"SM5H","Internal Gas","Sample","Acer saccharum","SM5","heartwood","F241010s75.CHR","10/10/2024","20:47:28","CH4",1.353,204.2737,883.8468,"ppm","CO2",1.856,2229.5346,8030.2341,"ppm","E241010s75.CHR","10/10/2024","20:47:28","O2",1.193,391.4714,0,NA,"N2O",2.146,61.8666,0.0548,"ppm",35162.185273708,0.209868261426935,998.468640941776,8876.975612518,105486.555821124,2995.40592282533,26630.926837554,0.629604784280804
