sample_name	sample_title	bioproject_accession	organism	strain	isolate	cultivar	ecotype	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	isol_growth_condt	lat_lon	air_temp_regm	altitude	ances_data	antibiotic_regm	biol_stat	biotic_regm	biotic_relationship	chem_administration	chem_mutagen	climate_environment	collection_method	cult_root_med	depth	elev	extrachrom_elements	fertilizer_regm	fungicide_regm	gaseous_environment	genetic_mod	gravity	growth_facil	growth_habit	growth_hormone_regm	herbicide_regm	host_age	host_common_name	host_disease	host_dry_mass	host_genotype	host_height	host_length	host_life_stage	host_phenotype	host_subspecf_genlin	host_symbiont	host_taxid	host_tot_mass	host_wet_mass	humidity_regm	isolation_source	light_regm	mechanical_damage	mineral_nutr_regm	misc_param	neg_cont_type	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_growth_med	plant_product	plant_sex	plant_struc	pos_cont_type	radiation_regm	rainfall_regm	rel_to_oxygen	root_cond	root_med_carbon	root_med_macronutr	root_med_micronutr	root_med_ph	root_med_regl	root_med_solid	root_med_suppl	salt_regm	samp_capt_status	samp_collect_device	samp_dis_stage	samp_mat_process	samp_salinity	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	season_environment	source_material_id	standing_water_regm	subspecf_gen_lin	temp	tiss_cult_growth_med	trophic_level	water_temp_regm	watering_regm	description
QUVE50HEART1_ITS_S505_R2_001.fastq.gz.			QUVE50HEART1		Sample_or_read_36			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000748	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE50HEART2_ITS_S507_R1_001.fastq.gz.			QUVE50HEART2		Sample_or_read_37			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000749	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE50HEART2_ITS_S507_R2_001.fastq.gz.			QUVE50HEART2		Sample_or_read_38			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000750	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE50SAP_ITS_S509_R1_001.fastq.gz.			QUVE50SAP		Sample_or_read_39			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000751	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE50SAP_ITS_S509_R2_001.fastq.gz.			QUVE50SAP		Sample_or_read_40			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000752	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE600BARK1_ITS_S511_R1_001.fastq.gz.			QUVE600BARK1		Sample_or_read_41			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000753	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE600BARK1_ITS_S511_R2_001.fastq.gz.			QUVE600BARK1		Sample_or_read_42			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000754	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE600HEART1_ITS_S513_R1_001.fastq.gz.			QUVE600HEART1		Sample_or_read_43			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000755	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE600HEART1_ITS_S513_R2_001.fastq.gz.			QUVE600HEART1		Sample_or_read_44			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000756	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE600HEART2_ITS_S515_R1_001.fastq.gz.			QUVE600HEART2		Sample_or_read_45			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000757	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE600HEART2_ITS_S515_R2_001.fastq.gz.			QUVE600HEART2		Sample_or_read_46			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000758	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE600SAP_ITS_S517_R1_001.fastq.gz.			QUVE600SAP		Sample_or_read_47			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000759	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE600SAP_ITS_S517_R2_001.fastq.gz.			QUVE600SAP		Sample_or_read_48			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000760	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE800BARK1_ITS_S519_R1_001.fastq.gz.			QUVE800BARK1		Sample_or_read_49			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000761	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE800BARK1_ITS_S519_R2_001.fastq.gz.			QUVE800BARK1		Sample_or_read_50			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000762	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE800HEART1_ITS_S521_R1_001.fastq.gz.			QUVE800HEART1		Sample_or_read_51			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000763	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE800HEART1_ITS_S521_R2_001.fastq.gz.			QUVE800HEART1		Sample_or_read_52			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000764	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE800HEART2_ITS_S523_R1_001.fastq.gz.			QUVE800HEART2		Sample_or_read_53			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000765	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE800HEART2_ITS_S523_R2_001.fastq.gz.			QUVE800HEART2		Sample_or_read_54			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000766	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE800SAP_ITS_S525_R1_001.fastq.gz.			QUVE800SAP		Sample_or_read_55			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000767	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE800SAP_ITS_S525_R2_001.fastq.gz.			QUVE800SAP		Sample_or_read_56			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000768	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVEBRANCH1_ITS_S527_R1_001.fastq.gz.			QUVEBRANCH1		Sample_or_read_57			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000769	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVEBRANCH1_ITS_S527_R2_001.fastq.gz.			QUVEBRANCH1		Sample_or_read_58			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000770	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVEBRANCH2_ITS_S529_R1_001.fastq.gz.			QUVEBRANCH2		Sample_or_read_59			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000771	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVEBRANCH2_ITS_S529_R2_001.fastq.gz.			QUVEBRANCH2		Sample_or_read_60			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000772	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVEBRANCH3_ITS_S531_R1_001.fastq.gz.			QUVEBRANCH3		Sample_or_read_61			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000773	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVEBRANCH3_ITS_S531_R2_001.fastq.gz.			QUVEBRANCH3		Sample_or_read_62			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000774	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVEBRANCH4BARK_ITS_S533_R1_001.fastq.gz.			QUVEBRANCH4BARK		Sample_or_read_63			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000775	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVEBRANCH4BARK_ITS_S533_R2_001.fastq.gz.			QUVEBRANCH4BARK		Sample_or_read_64			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000776	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVEBRANCH4INT_ITS_S535_R1_001.fastq.gz.			QUVEBRANCH4INT		Sample_or_read_65			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000777	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVEBRANCH4INT_ITS_S535_R2_001.fastq.gz.			QUVEBRANCH4INT		Sample_or_read_66			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000778	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVECOARSE1_ITS_S537_R1_001.fastq.gz.			QUVECOARSE1		Sample_or_read_67			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000779	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVECOARSE1_ITS_S537_R2_001.fastq.gz.			QUVECOARSE1		Sample_or_read_68			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000780	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVECOARSE2EPI_ITS_S539_R1_001.fastq.gz.			QUVECOARSE2EPI		Sample_or_read_69			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000781	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVECOARSE2EPI_ITS_S539_R2_001.fastq.gz.			QUVECOARSE2EPI		Sample_or_read_70			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000782	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVECOARSE2INT_ITS_S541_R1_001.fastq.gz.			QUVECOARSE2INT		Sample_or_read_71			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000783	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVECOARSE2INT_ITS_S541_R2_001.fastq.gz.			QUVECOARSE2INT		Sample_or_read_72			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000784	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVECOARSE3_ITS_S543_R1_001.fastq.gz.			QUVECOARSE3		Sample_or_read_73			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000785	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVECOARSE3_ITS_S543_R2_001.fastq.gz.			QUVECOARSE3		Sample_or_read_74			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000786	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
